,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
85,2024-11-02,Saint-Étienne,Strasbourg,2.0,0.0,H,0.0,0.0,D,8.0,19.0,24.0,17.0,3.0,8.0,13.0,6.0,7,13,L,W,L,L,W,D,D,W,L,D,10
86,2024-11-03,Toulouse,Stade de Reims,1.0,0.0,H,0.0,0.0,D,10.0,16.0,11.0,14.0,5.0,8.0,5.0,8.0,9,14,W,L,D,L,L,W,L,W,L,D,10
87,2024-11-03,Auxerre,Stade Rennais,4.0,0.0,H,2.0,0.0,H,13.0,13.0,18.0,12.0,6.0,7.0,7.0,5.0,10,11,D,W,W,D,L,L,W,L,L,D,10
88,2024-11-03,Le Havre,Montpellier,1.0,0.0,H,0.0,0.0,D,7.0,8.0,20.0,29.0,2.0,3.0,7.0,16.0,6,4,L,L,L,L,L,L,L,L,L,W,10
89,2024-11-03,Nantes,Marseille,1.0,2.0,A,1.0,1.0,D,11.0,21.0,12.0,11.0,6.0,10.0,5.0,5.0,10,17,L,L,D,W,L,D,D,L,D,W,10
90,2024-11-08,Marseille,Auxerre,1.0,3.0,A,0.0,3.0,A,23.0,17.0,12.0,18.0,11.0,8.0,6.0,7.0,20,13,W,W,L,D,W,W,D,L,L,W,11
91,2024-11-09,Strasbourg,Monaco,1.0,3.0,A,1.0,0.0,H,19.0,15.0,19.0,7.0,8.0,8.0,6.0,5.0,13,20,L,L,W,L,L,D,D,W,W,W,11
92,2024-11-09,RC Lens,Nantes,3.0,2.0,H,1.0,1.0,D,9.0,12.0,7.0,14.0,6.0,7.0,3.0,6.0,14,10,L,L,L,L,W,D,D,L,D,D,11
93,2024-11-09,Angers SCO,PSG,2.0,4.0,A,0.0,4.0,A,11.0,29.0,16.0,8.0,5.0,12.0,9.0,3.0,10,26,W,W,W,W,D,W,D,D,L,W,11
94,2024-11-10,Nice,Lille,2.0,2.0,D,0.0,1.0,A,19.0,16.0,9.0,9.0,12.0,7.0,3.0,6.0,16,18,W,D,W,W,D,D,D,W,D,W,11
95,2024-11-10,Montpellier,Brest,3.0,1.0,H,2.0,0.0,H,8.0,13.0,30.0,16.0,3.0,8.0,16.0,10.0,4,13,L,L,L,W,L,D,L,W,L,L,11
96,2024-11-10,Le Havre,Stade de Reims,0.0,3.0,A,0.0,2.0,A,8.0,16.0,20.0,15.0,2.0,8.0,7.0,8.0,9,14,W,L,L,L,L,L,L,W,L,W,11
97,2024-11-10,Stade Rennais,Toulouse,0.0,2.0,A,0.0,2.0,A,13.0,11.0,16.0,11.0,7.0,5.0,7.0,5.0,11,12,L,W,W,W,D,D,L,L,L,L,11
98,2024-11-10,Olympique Lyon,Saint-Étienne,1.0,0.0,H,1.0,0.0,H,17.0,10.0,15.0,24.0,5.0,3.0,5.0,13.0,15,10,D,W,D,L,W,L,W,W,W,D,11
99,2024-11-22,Monaco,Brest,3.0,2.0,H,2.0,0.0,H,18.0,14.0,8.0,19.0,8.0,8.0,6.0,12.0,23,13,W,L,L,L,L,W,D,D,W,W,12
100,2024-11-22,PSG,Toulouse,3.0,0.0,H,1.0,0.0,H,33.0,13.0,10.0,11.0,16.0,7.0,3.0,5.0,29,15,W,W,W,W,W,W,W,D,D,L,12
101,2024-11-23,RC Lens,Marseille,1.0,3.0,A,0.0,0.0,D,12.0,24.0,9.0,15.0,7.0,11.0,4.0,9.0,17,20,W,L,L,W,L,L,W,W,D,D,12
102,2024-11-23,Saint-Étienne,Montpellier,1.0,0.0,H,0.0,0.0,D,10.0,11.0,25.0,31.0,3.0,5.0,14.0,16.0,10,7,L,W,W,L,L,L,L,L,W,L,12
103,2024-11-23,Stade de Reims,Olympique Lyon,1.0,1.0,D,0.0,1.0,A,19.0,18.0,15.0,15.0,10.0,6.0,8.0,5.0,17,18,W,W,L,D,L,D,L,W,W,W,12
104,2024-11-24,Lille,Stade Rennais,1.0,0.0,H,1.0,0.0,H,18.0,13.0,11.0,18.0,8.0,7.0,6.0,9.0,19,11,D,L,D,L,W,W,D,D,W,L,12
105,2024-11-24,Nantes,Le Havre,0.0,2.0,A,0.0,1.0,A,14.0,8.0,17.0,23.0,8.0,2.0,7.0,9.0,10,9,L,L,L,W,L,L,D,L,L,L,12
106,2024-11-24,Auxerre,Angers SCO,1.0,0.0,H,0.0,0.0,D,20.0,13.0,19.0,20.0,11.0,5.0,7.0,13.0,16,10,W,L,W,W,D,W,W,D,L,D,12
107,2024-11-24,Nice,Strasbourg,2.0,1.0,H,0.0,1.0,A,21.0,20.0,11.0,22.0,12.0,9.0,4.0,6.0,17,13,D,L,W,L,W,W,D,L,D,D,12
108,2024-11-29,Stade de Reims,RC Lens,0.0,2.0,A,0.0,1.0,A,20.0,13.0,16.0,12.0,10.0,7.0,9.0,4.0,18,17,D,L,W,W,L,L,L,L,L,W,13
109,2024-11-30,Stade Rennais,Saint-Étienne,5.0,0.0,H,2.0,0.0,H,13.0,11.0,19.0,25.0,7.0,3.0,10.0,14.0,11,13,L,W,L,L,L,W,W,L,D,L,13
110,2024-11-30,Brest,Strasbourg,3.0,1.0,H,2.0,0.0,H,16.0,21.0,22.0,24.0,8.0,10.0,14.0,6.0,13,13,L,L,L,L,L,L,W,W,D,L,13
111,2024-11-30,PSG,Nantes,1.0,1.0,D,1.0,1.0,D,36.0,14.0,10.0,19.0,17.0,8.0,3.0,8.0,32,10,W,L,W,L,W,L,W,L,W,D,13
112,2024-12-01,Montpellier,Lille,2.0,2.0,D,1.0,1.0,D,11.0,19.0,32.0,11.0,5.0,9.0,16.0,6.0,7,22,L,W,W,D,L,D,L,W,L,D,13
113,2024-12-01,Le Havre,Angers SCO,0.0,1.0,A,0.0,0.0,D,10.0,13.0,23.0,21.0,3.0,5.0,9.0,13.0,12,10,W,L,L,L,W,W,L,W,L,D,13
114,2024-12-01,Toulouse,Auxerre,2.0,0.0,H,2.0,0.0,H,13.0,21.0,14.0,19.0,7.0,11.0,6.0,7.0,15,19,L,W,W,W,W,W,W,D,D,W,13
115,2024-12-01,Olympique Lyon,Nice,4.0,1.0,H,3.0,1.0,H,19.0,23.0,16.0,12.0,7.0,12.0,5.0,5.0,19,20,D,W,W,D,D,W,D,W,W,D,13
116,2024-12-01,Marseille,Monaco,2.0,1.0,H,0.0,1.0,A,27.0,21.0,16.0,10.0,11.0,10.0,9.0,6.0,23,26,W,W,L,W,W,L,L,L,W,D,13
117,2024-12-06,Lille,Brest,3.0,1.0,H,2.0,0.0,H,21.0,19.0,13.0,23.0,10.0,10.0,7.0,14.0,23,16,D,W,W,L,D,L,D,L,W,W,14
118,2024-12-06,Auxerre,PSG,0.0,0.0,D,0.0,0.0,D,21.0,37.0,21.0,11.0,11.0,18.0,9.0,4.0,19,33,L,D,W,W,W,W,W,W,D,W,14
119,2024-12-07,Monaco,Toulouse,2.0,0.0,H,0.0,0.0,D,22.0,15.0,12.0,14.0,11.0,9.0,6.0,6.0,26,18,L,W,W,L,W,W,L,W,L,W,14
120,2024-12-07,Nice,Le Havre,2.0,1.0,H,0.0,0.0,D,24.0,10.0,16.0,24.0,13.0,3.0,8.0,9.0,20,12,L,L,W,W,D,L,W,W,W,L,14
121,2024-12-07,Angers SCO,Olympique Lyon,0.0,3.0,A,0.0,1.0,A,14.0,23.0,21.0,17.0,5.0,10.0,13.0,6.0,13,22,W,W,L,D,L,W,W,D,W,D,14
122,2024-12-08,RC Lens,Montpellier,2.0,0.0,H,1.0,0.0,H,15.0,13.0,12.0,34.0,8.0,6.0,4.0,17.0,20,8,W,D,L,L,W,W,L,L,L,L,14
123,2024-12-08,Strasbourg,Stade de Reims,0.0,0.0,D,0.0,0.0,D,22.0,20.0,27.0,18.0,10.0,10.0,8.0,10.0,13,18,L,L,L,D,L,W,L,L,W,L,14
124,2024-12-08,Nantes,Stade Rennais,1.0,0.0,H,0.0,0.0,D,15.0,18.0,20.0,19.0,9.0,9.0,9.0,10.0,11,14,D,W,L,L,L,L,L,L,L,W,14
125,2024-12-08,Saint-Étienne,Marseille,0.0,2.0,A,0.0,1.0,A,11.0,29.0,30.0,17.0,3.0,11.0,16.0,10.0,13,26,L,W,W,W,L,L,W,W,L,L,14
126,2024-12-13,Toulouse,Saint-Étienne,2.0,1.0,H,0.0,0.0,D,15.0,11.0,16.0,32.0,9.0,3.0,6.0,17.0,18,13,L,L,W,L,L,W,W,L,W,W,15
127,2024-12-14,Marseille,Lille,1.0,1.0,D,1.0,0.0,H,31.0,24.0,17.0,14.0,12.0,12.0,10.0,7.0,29,26,W,W,W,D,W,W,L,D,W,D,15
128,2024-12-14,Auxerre,RC Lens,2.0,2.0,D,1.0,2.0,A,21.0,17.0,21.0,12.0,11.0,9.0,9.0,4.0,20,23,D,W,L,W,W,L,W,W,W,L,15
129,2024-12-14,Stade de Reims,Monaco,0.0,0.0,D,0.0,0.0,D,20.0,24.0,18.0,12.0,10.0,11.0,10.0,6.0,19,29,D,W,L,L,D,W,W,W,L,L,15
130,2024-12-15,Montpellier,Nice,2.0,2.0,D,1.0,2.0,A,13.0,26.0,36.0,17.0,6.0,13.0,18.0,8.0,8,23,L,W,D,L,L,W,W,D,L,W,15
131,2024-12-15,Stade Rennais,Angers SCO,2.0,0.0,H,1.0,0.0,H,18.0,14.0,20.0,24.0,9.0,5.0,10.0,14.0,14,13,L,L,W,W,L,L,L,L,L,W,15
132,2024-12-15,Le Havre,Strasbourg,0.0,3.0,A,0.0,2.0,A,11.0,22.0,26.0,27.0,3.0,10.0,9.0,8.0,12,14,L,D,L,L,W,L,L,L,W,L,15
133,2024-12-15,Brest,Nantes,4.0,1.0,H,2.0,0.0,H,20.0,16.0,26.0,20.0,10.0,9.0,16.0,9.0,16,14,L,W,W,D,L,L,L,L,L,L,15
