,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,RES,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
94,2024-10-30,Atalanta,Monza,2.0,0.0,H,0.0,0.0,D,24.0,10.0,14.0,11.0,14.0,6.0,6.0,7.0,16,8,W,D,W,W,W,D,D,L,L,L,10
95,2024-10-30,Juventus,Parma,2.0,2.0,D,1.0,2.0,A,15.0,12.0,5.0,14.0,7.0,6.0,3.0,4.0,17,8,D,D,W,D,D,D,W,L,D,D,10
96,2024-10-31,Genoa,Fiorentina,0.0,1.0,A,0.0,0.0,D,7.0,20.0,20.0,9.0,2.0,10.0,5.0,8.0,6,16,L,W,D,W,L,W,L,D,L,W,10
97,2024-10-31,Como 1907,Lazio,1.0,5.0,A,0.0,2.0,A,11.0,17.0,16.0,12.0,4.0,8.0,7.0,5.0,9,16,L,W,D,L,L,W,W,W,W,L,10
98,2024-10-31,Roma,Torino,1.0,0.0,H,1.0,0.0,H,9.0,15.0,11.0,14.0,3.0,6.0,5.0,6.0,10,14,L,W,L,L,D,L,W,L,W,W,10
99,2024-11-02,Bologna,Lecce,1.0,0.0,H,0.0,0.0,D,11.0,3.0,11.0,19.0,4.0,2.0,4.0,9.0,12,5,W,L,D,L,D,L,D,L,W,D,10
100,2024-11-02,Udinese,Juventus,0.0,2.0,A,0.0,2.0,A,14.0,17.0,14.0,7.0,6.0,8.0,7.0,5.0,16,18,L,D,W,D,L,W,W,D,L,W,11
101,2024-11-02,Monza,Milan,0.0,1.0,A,0.0,1.0,A,10.0,17.0,13.0,11.0,6.0,11.0,7.0,6.0,8,17,L,W,D,L,W,W,D,L,L,W,11
102,2024-11-03,Napoli,Atalanta,0.0,3.0,A,0.0,2.0,A,18.0,26.0,5.0,14.0,7.0,14.0,2.0,6.0,25,19,W,W,W,W,W,W,W,W,W,D,11
103,2024-11-03,Torino,Fiorentina,0.0,1.0,A,0.0,1.0,A,15.0,21.0,15.0,9.0,6.0,10.0,7.0,8.0,14,19,L,W,W,W,L,W,L,W,L,D,11
